symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQH5,-2,0,0.25,167247891542,167247891564,1,21888.50,21882.50,$(120.00),01/23/2025 17:37:56,01/23/2025 17:38:00,3sec
NQH5,-2,0,0.25,167247891583,167247891601,1,21884.50,21890.50,$120.00,01/23/2025 17:38:14,01/23/2025 17:38:27,12sec
NQH5,-2,0,0.25,167247891638,167247891620,1,21899.50,21893.50,$(120.00),01/23/2025 17:39:22,01/23/2025 17:39:01,20sec
NQH5,-2,0,0.25,167247891674,167247891700,1,21909.00,21908.50,$(10.00),01/23/2025 17:40:01,01/23/2025 17:40:59,58sec
NQH5,-2,0,0.25,167247891741,167247891715,1,21908.00,21905.00,$(60.00),01/23/2025 17:41:49,01/23/2025 17:41:26,23sec
NQH5,-2,0,0.25,167247891760,167247891778,1,21899.00,21905.00,$120.00,01/23/2025 17:42:36,01/23/2025 17:43:08,32sec
NQH5,-2,0,0.25,167247891825,167247891805,1,21910.50,21904.50,$(120.00),01/23/2025 17:47:27,01/23/2025 17:47:01,26sec
NQH5,-2,0,0.25,167247891882,167247891840,1,21899.50,21909.00,$190.00,01/23/2025 17:53:08,01/23/2025 17:47:40,5min 28sec
NQH5,-2,0,0.25,167247891940,167247891901,1,21900.75,21903.25,$50.00,01/23/2025 17:53:59,01/23/2025 17:53:38,20sec
NQH5,-2,0,0.25,167247892004,167247891973,1,21899.00,21899.75,$15.00,01/23/2025 17:59:50,01/23/2025 17:59:17,33sec
NQH5,-2,0,0.25,167247892020,167247892038,1,21878.00,21872.00,$(120.00),01/23/2025 18:06:05,01/23/2025 18:06:18,12sec
NQH5,-2,0,0.25,167247892057,167247892088,1,21871.00,21877.25,$125.00,01/23/2025 18:06:21,01/23/2025 18:06:42,21sec
NQH5,-2,0,0.25,167247892100,167247892135,1,21892.75,21894.25,$30.00,01/23/2025 18:07:16,01/23/2025 18:07:31,15sec
NQH5,-2,0,0.25,167247892151,167247892177,1,21882.50,21887.50,$100.00,01/23/2025 18:08:14,01/23/2025 18:09:18,1min 4sec
NQH5,-2,0,0.25,167247892239,167247892213,1,21918.50,21916.50,$(40.00),01/23/2025 18:34:35,01/23/2025 18:34:20,14sec
