Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
2,MNQ,Long,10.0,2.5,Win,0-30 sec,0-30 min,28.5,45.6,7.0,21529.5,21532.0,2025-01-17 17:48:38,2025-01-17 17:48:45
2,MNQ,Long,13.0,3.25,Win,30-120 sec,0-30 min,27.3,47.3,58.0,21519.0,21522.25,2025-01-17 17:54:16,2025-01-17 17:55:14
2,MNQ,Short,12.0,3.0,Win,30-120 sec,0-30 min,25.3,50.6,95.0,21539.5,21542.5,2025-01-17 17:57:48,2025-01-17 17:56:12
2,MNQ,Short,80.0,20.0,Win,0-30 sec,30-60 min,26.4,52.7,13.0,21528.25,21548.25,2025-01-17 18:02:58,2025-01-17 18:02:44
2,MNQ,Long,80.0,20.0,Win,30-120 sec,30-60 min,27.1,52.8,31.0,21559.75,21579.75,2025-01-17 18:05:29,2025-01-17 18:06:00
2,MNQ,Short,-56.0,-14.0,Loss,30-120 sec,30-60 min,23.8,56.3,50.0,21520.5,21506.5,2025-01-17 18:23:52,2025-01-17 18:23:01
2,MNQ,Short,69.0,17.25,Win,30-120 sec,30-60 min,22.7,56.3,102.0,21503.5,21520.75,2025-01-17 18:26:11,2025-01-17 18:24:28
2,MNQ,Long,35.0,8.75,Win,0-30 sec,30-60 min,22.9,57.9,19.0,21494.75,21503.5,2025-01-17 18:28:06,2025-01-17 18:28:25
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,30-60 min,22.9,57.9,6.0,21527.25,21513.25,2025-01-17 18:29:05,2025-01-17 18:28:58
2,MNQ,Long,29.0,7.25,Win,30-120 sec,30-60 min,23.4,57.9,59.0,21527.75,21535.0,2025-01-17 18:29:12,2025-01-17 18:30:11
2,MNQ,Long,32.0,8.0,Win,0-30 sec,1-2 hour,23.9,57.9,22.0,21523.25,21531.25,2025-01-17 18:30:56,2025-01-17 18:31:19
2,MNQ,Short,32.0,8.0,Win,0-30 sec,1-2 hour,17.7,48.8,15.0,21566.25,21574.25,2025-01-17 18:41:23,2025-01-17 18:41:07
1,MYM,Long,12.5,25.0,Win,2-5 min,0-30 min,19.4,21.9,193.0,43897.0,43922.0,2025-01-21 17:37:50,2025-01-21 17:41:04
2,MNQ,Short,-56.0,-14.0,Loss,0-30 sec,0-30 min,24.8,27.2,17.0,21647.25,21633.25,2025-01-21 17:47:30,2025-01-21 17:47:13
2,MNQ,Long,30.0,7.5,Win,30-120 sec,30-60 min,31.1,38.5,58.0,21587.25,21594.75,2025-01-21 18:02:36,2025-01-21 18:03:35
2,MNQ,Long,36.0,9.0,Win,0-30 sec,30-60 min,29.8,41.3,13.0,21605.75,21614.75,2025-01-21 18:05:57,2025-01-21 18:06:11
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,23.8,41.3,7.0,21620.25,21614.25,2025-01-21 18:09:44,2025-01-21 18:09:51
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,23.6,47.2,3.0,21612.5,21618.5,2025-01-21 18:10:04,2025-01-21 18:10:08
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,25.5,47.2,7.0,21582.25,21576.25,2025-01-21 18:11:46,2025-01-21 18:11:53
1,NQ,Short,120.0,6.0,Win,0-30 sec,30-60 min,25.5,47.2,3.0,21559.75,21565.75,2025-01-21 18:12:02,2025-01-21 18:11:59
2,MNQ,Short,0.0,0.0,Breakeven,30-120 sec,30-60 min,24.6,52.1,38.0,21564.25,21564.25,2025-01-21 18:16:58,2025-01-21 18:16:20
1,NQ,Long,120.0,6.0,Win,0-30 sec,30-60 min,25.1,52.1,5.0,21590.0,21596.0,2025-01-21 18:18:07,2025-01-21 18:18:12
2,MNQ,Short,-1.0,-0.25,Loss,30-120 sec,1-2 hour,18.8,56.3,49.0,21637.0,21636.75,2025-01-21 18:30:50,2025-01-21 18:30:01
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.4,56.3,16.0,21626.25,21632.25,2025-01-21 18:31:54,2025-01-21 18:32:10
1,MNQ,Long,23.0,11.5,Win,5+ min,1-2 hour,17.4,56.4,442.0,21622.75,21634.25,2025-01-21 18:41:05,2025-01-21 18:48:27
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.0,53.9,7.0,21598.75,21604.75,2025-01-21 18:47:09,2025-01-21 18:47:17
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,18.0,53.9,7.0,21610.0,21616.0,2025-01-21 18:47:36,2025-01-21 18:47:43
1,NQ,Long,0.0,0.0,Breakeven,30-120 sec,2+ hour,7.1,20.5,33.0,22069.5,22069.5,2025-01-22 19:52:51,2025-01-22 19:53:25
1,NQ,Short,0.0,0.0,Breakeven,0-30 sec,2+ hour,7.1,20.5,23.0,22071.5,22071.5,2025-01-22 19:54:16,2025-01-22 19:53:53
1,NQ,Long,120.0,6.0,Win,2-5 min,2+ hour,7.1,20.2,263.0,22075.25,22081.25,2025-01-22 19:56:40,2025-01-22 20:01:03
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,0-30 min,14.3,16.6,3.0,21888.5,21882.5,2025-01-23 17:37:56,2025-01-23 17:38:00
1,NQ,Long,120.0,6.0,Win,0-30 sec,0-30 min,15.3,16.6,12.0,21884.5,21890.5,2025-01-23 17:38:14,2025-01-23 17:38:27
1,NQ,Short,-120.0,-6.0,Loss,0-30 sec,0-30 min,16.4,16.6,20.0,21899.5,21893.5,2025-01-23 17:39:22,2025-01-23 17:39:01
1,NQ,Long,-10.0,-0.5,Loss,30-120 sec,0-30 min,16.5,15.1,58.0,21909.0,21908.5,2025-01-23 17:40:01,2025-01-23 17:40:59
1,NQ,Short,-60.0,-3.0,Loss,0-30 sec,0-30 min,16.8,15.1,23.0,21908.0,21905.0,2025-01-23 17:41:49,2025-01-23 17:41:26
1,NQ,Long,120.0,6.0,Win,30-120 sec,0-30 min,16.9,15.1,32.0,21899.0,21905.0,2025-01-23 17:42:36,2025-01-23 17:43:08
1,NQ,Short,-120.0,-6.0,Loss,0-30 sec,0-30 min,14.5,15.7,26.0,21910.5,21904.5,2025-01-23 17:47:27,2025-01-23 17:47:01
1,NQ,Short,190.0,9.5,Win,5+ min,0-30 min,14.5,15.7,328.0,21899.5,21909.0,2025-01-23 17:53:08,2025-01-23 17:47:40
1,NQ,Short,50.0,2.5,Win,0-30 sec,0-30 min,11.8,16.6,20.0,21900.75,21903.25,2025-01-23 17:53:59,2025-01-23 17:53:38
1,NQ,Short,15.0,0.75,Win,30-120 sec,0-30 min,12.5,17.8,33.0,21899.0,21899.75,2025-01-23 17:59:50,2025-01-23 17:59:17
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,30-60 min,14.3,21.2,12.0,21878.0,21872.0,2025-01-23 18:06:05,2025-01-23 18:06:18
1,NQ,Long,125.0,6.25,Win,0-30 sec,30-60 min,14.3,21.2,21.0,21871.0,21877.25,2025-01-23 18:06:21,2025-01-23 18:06:42
1,NQ,Long,30.0,1.5,Win,0-30 sec,30-60 min,14.5,21.2,15.0,21892.75,21894.25,2025-01-23 18:07:16,2025-01-23 18:07:31
1,NQ,Long,100.0,5.0,Win,30-120 sec,30-60 min,14.6,21.2,64.0,21882.5,21887.5,2025-01-23 18:08:14,2025-01-23 18:09:18
1,NQ,Short,-40.0,-2.0,Loss,0-30 sec,1-2 hour,11.1,26.5,14.0,21918.5,21916.5,2025-01-23 18:34:35,2025-01-23 18:34:20
1,NQ,Long,-175.0,-8.75,Loss,30-120 sec,1-2 hour,11.1,26.5,40.0,21922.25,21913.5,2025-01-23 18:34:48,2025-01-23 18:35:28
1,NQ,Long,120.0,6.0,Win,0-30 sec,1-2 hour,10.9,27.3,9.0,21915.0,21921.0,2025-01-23 18:35:34,2025-01-23 18:35:44
1,MNQ,Long,-0.5,-0.25,Loss,5+ min,1-2 hour,10.9,27.3,362.0,21918.75,21918.5,2025-01-23 18:35:58,2025-01-23 18:42:01
1,NQ,Long,100.0,5.0,Win,0-30 sec,1-2 hour,10.9,27.3,8.0,21921.0,21926.0,2025-01-23 18:36:57,2025-01-23 18:37:05
1,NQ,Long,25.0,1.25,Win,0-30 sec,1-2 hour,10.4,27.3,26.0,21931.0,21932.25,2025-01-23 18:37:40,2025-01-23 18:38:07
1,NQ,Long,-125.0,-6.25,Loss,30-120 sec,1-2 hour,9.6,25.9,57.0,21924.75,21918.5,2025-01-23 18:41:03,2025-01-23 18:42:01
1,NQ,Long,160.0,8.0,Win,30-120 sec,1-2 hour,9.8,25.9,80.0,21918.25,21926.25,2025-01-23 18:44:09,2025-01-23 18:45:30
1,NQ,Long,-5.0,-0.25,Loss,0-30 sec,1-2 hour,9.3,25.4,16.0,21934.25,21934.0,2025-01-23 18:47:17,2025-01-23 18:47:34
1,NQ,Long,45.0,2.25,Win,0-30 sec,1-2 hour,9.3,25.4,22.0,21930.5,21932.75,2025-01-23 18:47:44,2025-01-23 18:48:06
1,NQ,Long,-20.0,-1.0,Loss,30-120 sec,1-2 hour,9.0,25.4,36.0,21939.25,21938.25,2025-01-23 18:48:24,2025-01-23 18:49:00
1,NQ,Long,-120.0,-6.0,Loss,0-30 sec,1-2 hour,8.7,25.4,28.0,21936.5,21930.5,2025-01-23 18:49:51,2025-01-23 18:50:19
1,NQ,Long,0.0,0.0,Breakeven,2-5 min,1-2 hour,8.9,24.8,151.0,21928.75,21928.75,2025-01-23 18:50:34,2025-01-23 18:53:05
1,NQ,Short,125.0,6.25,Win,30-120 sec,1-2 hour,8.4,24.8,84.0,21928.25,21934.5,2025-01-23 18:55:01,2025-01-23 18:53:37
1,NQ,Short,-35.0,-1.75,Loss,30-120 sec,1-2 hour,8.7,23.4,37.0,21921.0,21919.25,2025-01-23 19:09:30,2025-01-23 19:08:52
