Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
1,MNQ,Long,-4.08,-1.25,Loss,30-120 sec,1-2 hour,49.8,75.2,113,21376.25,21375.0,2025-02-03 18:34:13,2025-02-03 18:36:06
3,MNQ,Short,-42.2,-6.25,Loss,0-30 sec,1-2 hour,45.3,77.1,30,21371.75,21365.5,2025-02-03 18:37:53,2025-02-03 18:37:23
3,MNQ,Long,47.8,8.75,Win,0-30 sec,1-2 hour,40.5,77.1,17,21339.75,21348.5,2025-02-03 18:38:26,2025-02-03 18:38:44
3,MNQ,Short,55.3,10.0,Win,0-30 sec,1-2 hour,38.5,77.1,16,21360.0,21370.0,2025-02-03 18:39:33,2025-02-03 18:39:17
3,MNQ,Short,-61.7,-9.5,Loss,0-30 sec,1-2 hour,35.1,78.8,7,21432.5,21423.0,2025-02-03 18:50:58,2025-02-03 18:50:50
3,MNQ,Short,-90.28,-14.0,Loss,0-30 sec,1-2 hour,34.6,78.8,4,21418.75,21404.75,2025-02-03 18:52:23,2025-02-03 18:52:19
2,MNQ,Short,91.86,23.75,Win,30-120 sec,1-2 hour,34.2,78.8,86,21394.5,21418.25,2025-02-03 18:55:04,2025-02-03 18:53:37
2,MNQ,Short,25.86,7.25,Win,0-30 sec,1-2 hour,27.9,78.2,8,21421.25,21428.5,2025-02-03 18:59:22,2025-02-03 18:59:14
2,MNQ,Short,-77.14,-18.5,Loss,30-120 sec,1-2 hour,28.0,79.2,31,21456.0,21437.5,2025-02-03 19:01:43,2025-02-03 19:01:11
2,MNQ,Short,72.86,19.0,Win,30-120 sec,1-2 hour,27.8,79.2,57,21425.5,21444.5,2025-02-03 19:03:00,2025-02-03 19:02:03
2,MNQ,Long,23.86,6.75,Win,0-30 sec,1-2 hour,29.0,79.2,4,21382.0,21388.75,2025-02-03 19:03:13,2025-02-03 19:03:18
